companyName,aliases,region,country,city,categories,tier,website,primaryEvidenceUrl,productCount,evidenceCount,aiUseCases,aiFitScore,marketExpansionScore,financingLiftScore,commercializationScore,dataReadinessScore,evidenceQualityScore,opportunityScore,scoreReasons,gaps
RecoveryPlus.health,Recovery Plus USA Inc; Recovery Plus,US,US,New York,chronic_disease_management; internet_healthcare; rehabilitation; remote_patient_monitoring,B,https://www.recoveryplus.health/,https://www.recoveryplus.health/about/,2,5,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化,30,19,10,9,8,9,85,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 康复产品可用 AI 降低人力交付成本; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing
"Teladoc Health, Inc.",Teladoc Health,US,US,Purchase,chronic_disease_management; internet_healthcare; mental_health; remote_patient_monitoring,B,https://www.teladochealth.com/,https://www.sec.gov/edgar/browse/?CIK=1477449,1,4,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,30,16,10,7,8,8,79,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
医联,Medlinker,China,CN,成都,chronic_disease_management; clinical_workflow; internet_healthcare,B,https://www.medlinker.com/,https://www.medlinker.com/,2,2,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,26,18,10,8,7,6,75,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing
深圳市理邦精密仪器股份有限公司,,China,CN,深圳,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069444138319332023122702190811,12,24,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,30,12,12,3,8,10,75,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
天津致远慧图科技有限公司,,China,CN,,chronic_disease_management; rehabilitation; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,2,4,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot,30,12,15,1,6,9,73,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 康复产品可用 AI 降低人力交付成本; 有监管/官方目录证据,website; financing; company_site_evidence
武汉兰丁智能医学股份有限公司,,China,CN,,clinical_workflow; remote_patient_monitoring; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975866142710202507090242481,4,8,远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,30,11,12,2,8,9,72,远程监测适合风险分层和异常预警; 临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
上海联影智能科技股份有限公司,,China,CN,上海,clinical_workflow; health_management_platform; patient_engagement; samd,A,,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697419760002920220614032338768,16,32,医生工作流、病历摘要和临床文档自动化; 患者互动、留存和健康行为 nudging,28,10,12,3,7,10,70,临床工作流可通过文档/决策辅助提效; 有监管/官方目录证据,website; financing; company_site_evidence
智云健康,ClouDr,China,CN,杭州,chronic_disease_management; clinical_workflow; internet_healthcare; online_consultation,B,https://www.cloudr.cn/,https://www.cloudr.cn/,1,2,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,25,18,10,4,7,6,70,慢病管理具备个性化随访和 AI 教练空间; 临床工作流可通过文档/决策辅助提效; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
Livongo,Livongo Health; Teladoc Health chronic care,US,US,Mountain View,chronic_disease_management; internet_healthcare; remote_patient_monitoring,B,https://www.teladochealth.com/livongo,https://www.teladochealth.com/livongo,1,3,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,20,15,10,9,8,7,69,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing
"Omada Health, Inc.",Omada Health,US,US,San Francisco,chronic_disease_management; internet_healthcare; remote_patient_monitoring,B,https://www.omadahealth.com/,https://www.sec.gov/edgar/browse/?CIK=1611115,1,3,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,25,15,7,7,8,7,69,远程监测适合风险分层和异常预警; 慢病管理具备个性化随访和 AI 教练空间; 互联网医疗平台有问诊分诊和服务自动化空间; 已有官网/产品页信号,financing; company_site_evidence
