companyName,aliases,city,categories,opportunityScore,website,watchReason
医联,Medlinker,成都,chronic_disease_management; clinical_workflow; internet_healthcare,75,https://www.medlinker.com/,BOSS 可返回医联成都职位，但本轮未核验到 AI/大模型/算法岗位；51job 被 WAF 滑块拦截。
深圳市理邦精密仪器股份有限公司,,深圳,clinical_workflow; remote_patient_monitoring; samd,75,,no_active_ai_job_verified_in_public_china_pass
天津致远慧图科技有限公司,,,chronic_disease_management; rehabilitation; remote_patient_monitoring; samd,73,,no_active_ai_job_verified_in_public_china_pass
武汉兰丁智能医学股份有限公司,,,clinical_workflow; remote_patient_monitoring; samd,72,,no_active_ai_job_verified_in_public_china_pass
智云健康,ClouDr,杭州,chronic_disease_management; clinical_workflow; internet_healthcare; online_consultation,70,https://www.cloudr.cn/,公开搜索未核验到 active AI/大模型/算法岗位；BOSS/51job 未完成可审计核验。
北京品驰医疗设备股份有限公司,,北京,clinical_workflow; remote_patient_monitoring; samd,68,,no_active_ai_job_verified_in_public_china_pass
深圳市埃微医疗信息技术有限公司,,深圳,clinical_workflow; remote_patient_monitoring; samd,67,,no_active_ai_job_verified_in_public_china_pass
上海镜影信息科技有限公司,,上海,clinical_workflow; remote_patient_monitoring; samd,66,,no_active_ai_job_verified_in_public_china_pass
华思（天津）医疗健康管理有限公司,,,health_management_platform; remote_patient_monitoring; samd,65,,no_active_ai_job_verified_in_public_china_pass
景昱医疗科技（苏州）股份有限公司,,,clinical_workflow; online_consultation; remote_patient_monitoring; samd,65,,no_active_ai_job_verified_in_public_china_pass
北京至真互联网技术有限公司,,北京,chronic_disease_management; clinical_workflow; samd,64,,no_active_ai_job_verified_in_public_china_pass
成都云卫康医疗科技有限公司,,成都,remote_patient_monitoring; samd; sleep_health,64,,no_active_ai_job_verified_in_public_china_pass
深圳星康医疗科技有限公司,,深圳,clinical_workflow; remote_patient_monitoring; samd,64,,no_active_ai_job_verified_in_public_china_pass
英国雅培糖尿病护理公司,,,chronic_disease_management; remote_patient_monitoring,63,,no_active_ai_job_verified_in_public_china_pass
纳龙健康科技股份有限公司,,,remote_patient_monitoring; samd,61,,no_active_ai_job_verified_in_public_china_pass
上海鹰瞳医疗科技有限公司,,上海,chronic_disease_management; clinical_workflow; samd,60,,no_active_ai_job_verified_in_public_china_pass
山东正心医疗科技有限公司,,,clinical_workflow; remote_patient_monitoring,60,,no_active_ai_job_verified_in_public_china_pass
深圳硅基智能科技有限公司,,深圳,chronic_disease_management; clinical_workflow; samd,60,,no_active_ai_job_verified_in_public_china_pass
方舟健客,方舟云康; Jianke,广州,chronic_disease_management; internet_healthcare; pharmacy_ecommerce,58,https://www.jianke.com/,公开搜索未核验到 active AI/LLM/算法岗位。
北京致远慧图科技有限公司,,北京,chronic_disease_management; clinical_workflow; samd,57,,no_active_ai_job_verified_in_public_china_pass
妙手医生,妙手; Miaoshou Doctor,北京,clinical_workflow; online_consultation; pharmacy_ecommerce,57,https://www.miaoshou.com/,公开搜索未核验到 active AI/LLM/算法岗位。
长沙爱孕记医疗科技有限公司,,,remote_patient_monitoring; samd,57,,no_active_ai_job_verified_in_public_china_pass
