companyName,sourceType,sourceUrl,capturedAt,evidenceSummary,evidenceStrength
Fella Health,product_evidence,https://www.fellahealth.com/,2026-05-19,面向肥胖和代谢健康的远程医疗/健康管理产品。,strong_product_or_company_site
Fella Health,reachability_evidence,https://www.ycombinator.com/companies/fella-health/jobs,2026-05-19,YC 招聘页显示 Fella 为 fully remote team，并在岗位中强调远程团队协作。,strong_reachability
成都尚医信息科技有限公司,product_evidence,https://www.prnewswire.com/news-releases/cf-pharmtech-and-chengdu-shangyi-launch-the-home-based-recovery-program-for-discharged-covid-19-patients-and-announce-todays-global-release-of-the-r-plus-health-free-app-301219070.html,2026-05-19,公开新闻称成都尚医与合作方发布 R Plus Health 居家康复 App，为出院患者提供康复计划和居家恢复支持。,strong_product_or_company_site
成都尚医信息科技有限公司,reachability_evidence,https://m.newseed.cn/company/43464,2026-05-19,公开企业资料显示为成都公司，适合中文主动联系和本地生态切入。,strong_reachability
智云健康,product_evidence,https://www.cloudr.cn/,2026-05-19,官网展示慢病管理、互联网医院和患者服务平台。,strong_product_or_company_site
智云健康,reachability_evidence,https://www.cloudr.cn/,2026-05-19,杭州总部/中国业务明确，可本地中文主动联系。,strong_reachability
深圳硅基智能科技有限公司,product_evidence,https://www.sibionics.com/,2026-05-19,糖尿病连续血糖监测和数字化管理相关产品。,strong_product_or_company_site
深圳硅基智能科技有限公司,reachability_evidence,https://www.sibionics.com/,2026-05-19,深圳公司，中国业务明确。,strong_reachability
GlucoSenseDigital,product_evidence,https://glucosensedigital.com/,2026-05-19,AI-powered diabetes management product positioning.,strong_product_or_company_site
GlucoSenseDigital,reachability_evidence,https://glucosensedigital.com/careers/,2026-05-19,招聘页称 fully remote team，帮助 worldwide 用户管理糖尿病。,strong_reachability
蚂蚁集团健康事业群 / 数字医疗,product_evidence,https://www.mianshima.com/job/5/25030403589666,2026-05-19,公开岗位显示医疗大模型医学专家/医疗 Agent 方向，说明其有医疗 AI 产品线。,strong_product_or_company_site
蚂蚁集团健康事业群 / 数字医疗,reachability_evidence,https://talent.antgroup.com/,2026-05-19,蚂蚁集团杭州/中国团队可触达。,strong_reachability
Hinge Health,product_evidence,https://www.hingehealth.com/,2026-05-19,数字肌骨诊所，面向疼痛、运动功能和物理治疗管理。,strong_product_or_company_site
Hinge Health,reachability_evidence,https://jobs.ashbyhq.com/hinge-health,2026-05-19,公开岗位主要为美国地点或美国远程，不满足 global remote 严格口径。,limited_or_unknown_reachability
Sword Health,product_evidence,https://swordhealth.com/,2026-05-19,数字物理治疗和 MSK care 平台，强调 AI care 和临床团队。,strong_product_or_company_site
Sword Health,reachability_evidence,https://swordhealth.com/careers,2026-05-19,公开岗位通常按 US / Portugal / UK 等地区招聘，未找到 worldwide remote 证据。,limited_or_unknown_reachability
医联,product_evidence,https://www.medlinker.com/,2026-05-19,互联网医疗平台，Stage 2 已标记为慢病管理、临床工作流和互联网医疗。,strong_product_or_company_site
医联,reachability_evidence,https://www.medlinker.com/,2026-05-19,成都公司/中国业务明确。,strong_reachability
Curable,product_evidence,https://www.curable.com/,2026-05-19,慢性疼痛教育、练习和行为干预 App。,strong_product_or_company_site
