companyName,aliases,region,country,city,legalEntity,registeredCapital,businessScope,categories,tier,lifecycleStatus,website,financingSummary,confidence,scopeStatus,discoveryRound,seeded,strongEvidenceCount,weakEvidenceCount,validationStatus,missingFields,primaryEvidenceUrl,evidenceCount
"Abbott Diabetes Care, Inc.",Abbott Diabetes Care,US,US,Alameda,,not_applicable_or_not_disclosed,,chronic_disease_management; remote_patient_monitoring,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,10,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K060768,10
"Big Health, Inc.",Big Health; Sleepio; Daylight,US,US,San Francisco,,not_applicable_or_not_disclosed,Mental Health Solutions | Big Health,digital_therapeutics; mental_health; sleep_health,A,active_or_unverified,https://www.bighealth.com/,not_checked_or_not_disclosed,0.96,in_scope,round1+round2,yes,3,1,validated_official_product,financing; legalEntity,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233577,5
"Canon, Inc.",CANON INC,US,JP,"Ohta-Ku, Tokyo, Japan",CANON INC,not_checked_or_not_disclosed,,samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,businessScope; financing; registeredCapital; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023124,6
"Cardon Rehabilitation Products, Inc.",,US,US,Niagara Falls,,not_applicable_or_not_disclosed,,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,9,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K951955,9
"Impact Applications, Inc.",,US,US,San Diego,,not_applicable_or_not_disclosed,,mental_health,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K181223,6
"Lifescan, Inc.",,US,US,West Chester,,not_applicable_or_not_disclosed,,chronic_disease_management; samd,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,4,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K120558,4
"Marquest Medical Products, Inc.",,US,US,Englewood,,not_applicable_or_not_disclosed,,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,6,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K902632,6
"Medtronic, Inc.",Medtronic plc,US,US,Mounds View,Medtronic plc,not_applicable_or_not_disclosed,,health_management_platform; patient_engagement,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,5,0,validated_official_product,businessScope; financing; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K153160,5
Mindmaze SA,MindMaze,Europe,CH,Lausanne,,not_applicable_or_not_disclosed,"Home - MindMaze Therapeutics; We are leaders in the development of innovative neurotherapeutic combinations, encompassing behavior, software, devices, and data",digital_therapeutics; rehabilitation; samd,A,active_or_unverified,https://www.mindmaze.com/,not_checked_or_not_disclosed,0.96,in_scope,round1+round2,yes,3,1,validated_official_product,financing; legalEntity,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K173931,4
"Respironics Inc., Sleep & Home Respiratory Group",,US,US,Murrysville,,not_applicable_or_not_disclosed,,,A,active_or_unverified,,not_checked_or_not_disclosed,0.96,in_scope,round1,no,5,0,validated_official_product,businessScope; financing; legalEntity; website,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K082866,5
