companyName,productName,productType,indicationOrUse,sourceType,regulatoryOrDirectoryId,approvalOrListingDate,status,sourceUrl,categories,evidenceStrength
,Acute respiratory infection in over 16s: initial assessment and management including virtual wards (hospital at home) (QS210),digital_health_directory_item,Product type: Quality standard Published : 31 October 2023; published 2023-10-31,nice_digital_health,QS210,2023-10-31,Published,https://www.nice.org.uk/guidance/qs210,,strong_official_product
,Adjunctive colposcopy technologies for assessing suspected cervical abnormalities: the DYSIS colposcope with DYSISmap and the ZedScan I (HTG467),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 25 April 2018; published 2018-04-25,nice_digital_health,HTG467,2018-04-25,Published,https://www.nice.org.uk/guidance/htg467,,strong_official_product
,AposHealth for knee osteoarthritis (HTG671),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 11 April 2023; published 2023-04-11,nice_digital_health,HTG671,2023-04-11,Published,https://www.nice.org.uk/guidance/htg671,,strong_official_product
,Artificial intelligence (AI) technologies for assessing and triaging skin lesions referred to the urgent suspected skin cancer pathway: early value assessment (HTG746),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 17 March 2026 Published : 1 May 2025; published 2025-05-01,nice_digital_health,HTG746,2025-05-01,Published,https://www.nice.org.uk/guidance/htg746,,strong_official_product
,Artificial intelligence (AI) technologies to help detect fractures on X-rays in urgent care: early value assessment (HTG739),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 14 January 2025; published 2025-01-14,nice_digital_health,HTG739,2025-01-14,Published,https://www.nice.org.uk/guidance/htg739,,strong_official_product
,Artificial intelligence (AI)-derived computer-aided detection (CAD) software for detecting and measuring lung nodules in CT scan images (HTG687),samd_or_medical_software,Product type: Guidance Programme: HealthTech guidance Published : 5 July 2023; published 2023-07-05,nice_digital_health,HTG687,2023-07-05,Published,https://www.nice.org.uk/guidance/htg687,samd,strong_official_product
,Artificial intelligence (AI)-derived software to analyse chest X-rays for suspected lung cancer in primary care referrals: early value assessment (HTG696),samd_or_medical_software,Product type: Guidance Programme: HealthTech guidance Last updated : 10 February 2025 Published : 28 September 2023; published 2023-09-28,nice_digital_health,HTG696,2023-09-28,Published,https://www.nice.org.uk/guidance/htg696,samd,strong_official_product
,Artificial intelligence (AI)-derived software to help clinical decision making in stroke (HTG708),samd_or_medical_software,Product type: Guidance Programme: HealthTech guidance Last updated : 2 May 2024 Published : 23 January 2024; published 2024-01-23,nice_digital_health,HTG708,2024-01-23,Published,https://www.nice.org.uk/guidance/htg708,samd,strong_official_product
,Atrial fibrillation and heart valve disease: self-monitoring coagulation status using point-of-care coagulometers (the CoaguChek XS system) (HTG353),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Last updated : 19 December 2017 Published : 24 September 2014; published 2014-09-24,nice_digital_health,HTG353,2014-09-24,Published,https://www.nice.org.uk/guidance/htg353,remote_patient_monitoring,strong_official_product
,Automated ankle brachial pressure index measurement devices to detect peripheral arterial disease in people with leg ulcers (HTG677),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 24 May 2023; published 2023-05-24,nice_digital_health,HTG677,2023-05-24,Published,https://www.nice.org.uk/guidance/htg677,,strong_official_product
,Biomarker tests to help diagnose preterm labour in women with intact membranes (HTG476),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 4 July 2018; published 2018-07-04,nice_digital_health,HTG476,2018-07-04,Published,https://www.nice.org.uk/guidance/htg476,,strong_official_product
,CaRi-Heart for predicting cardiac risk in suspected coronary artery disease: early value assessment (HTG663),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 9 March 2023; published 2023-03-09,nice_digital_health,HTG663,2023-03-09,Published,https://www.nice.org.uk/guidance/htg663,remote_patient_monitoring,strong_official_product
,Computed tomographic colonography (virtual colonoscopy) (HTG78),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 22 June 2005; published 2005-06-22,nice_digital_health,HTG78,2005-06-22,Published,https://www.nice.org.uk/guidance/htg78,,strong_official_product
,"Depth of anaesthesia monitors – Bispectral Index (BIS), E-Entropy and Narcotrend-Compact M (HTG292)",digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 21 November 2012; published 2012-11-21,nice_digital_health,HTG292,2012-11-21,Published,https://www.nice.org.uk/guidance/htg292,,strong_official_product
,"Detecting, managing and monitoring haemostasis: viscoelastometric point‑of‑care testing (ROTEM, TEG and Sonoclot systems) (HTG348)",remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 20 August 2014; published 2014-08-20,nice_digital_health,HTG348,2014-08-20,Published,https://www.nice.org.uk/guidance/htg348,remote_patient_monitoring,strong_official_product
,Devices for remote monitoring of Parkinson’s disease (HTG657),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Last updated : 25 January 2024 Published : 25 January 2023; published 2023-01-25,nice_digital_health,HTG657,2023-01-25,Published,https://www.nice.org.uk/guidance/htg657,remote_patient_monitoring,strong_official_product
,Digital front door technologies to gather service user information for NHS Talking Therapies for anxiety and depression assessments: early value assessment (HTG756),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 24 July 2025; published 2025-07-24,nice_digital_health,HTG756,2025-07-24,Published,https://www.nice.org.uk/guidance/htg756,mental_health,strong_official_product
,Digital health technologies to help manage symptoms of psychosis and prevent relapse in adults and young people: early value assessment (HTG713),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 25 March 2024; published 2024-03-25,nice_digital_health,HTG713,2024-03-25,Published,https://www.nice.org.uk/guidance/htg713,,strong_official_product
,Digital platforms to support cardiac rehabilitation: early value assessment (HTG761),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 4 December 2025; published 2025-12-04,nice_digital_health,HTG761,2025-12-04,Published,https://www.nice.org.uk/guidance/htg761,remote_patient_monitoring; rehabilitation,strong_official_product
,Digital self-help for eating disorders: early value assessment (HTG768),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 22 January 2026; published 2026-01-22,nice_digital_health,HTG768,2026-01-22,Published,https://www.nice.org.uk/guidance/htg768,,strong_official_product
,Digital technologies for applying algorithms to spirometry to support asthma and COPD diagnosis in primary care and community diagnostic centres: early-use assessment (HTG776),samd_or_medical_software,Product type: Guidance Programme: HealthTech guidance Published : 2 April 2026; published 2026-04-02,nice_digital_health,HTG776,2026-04-02,Published,https://www.nice.org.uk/guidance/htg776,samd; chronic_disease_management,strong_official_product
,Digital technologies for delivering multidisciplinary weight-management services: early value assessment (HTG700),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 6 March 2024 Published : 26 October 2023; published 2023-10-26,nice_digital_health,HTG700,2023-10-26,Published,https://www.nice.org.uk/guidance/htg700,,strong_official_product
,Digital technologies for managing mild to moderate symptoms of hip or knee osteoarthritis: early value assessment (HTG766),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 22 January 2026; published 2026-01-22,nice_digital_health,HTG766,2026-01-22,Published,https://www.nice.org.uk/guidance/htg766,,strong_official_product
,Digital technologies for managing non-specific low back pain: early value assessment (HTG712),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 30 April 2026 Published : 5 March 2024; published 2024-03-05,nice_digital_health,HTG712,2024-03-05,Published,https://www.nice.org.uk/guidance/htg712,,strong_official_product
,Digital technologies to deliver pulmonary rehabilitation programmes for adults with COPD: early value assessment (HTG718),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 17 September 2025 Published : 30 April 2024; published 2024-04-30,nice_digital_health,HTG718,2024-04-30,Published,https://www.nice.org.uk/guidance/htg718,chronic_disease_management; rehabilitation,strong_official_product
,Digital technologies to support self-management of asthma: early-use assessment (HTG778),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 5 May 2026; published 2026-05-05,nice_digital_health,HTG778,2026-05-05,Published,https://www.nice.org.uk/guidance/htg778,chronic_disease_management,strong_official_product
,Digital technologies to support self-management of COPD: early value assessment (HTG736),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 3 February 2026 Published : 19 December 2024; published 2024-12-19,nice_digital_health,HTG736,2024-12-19,Published,https://www.nice.org.uk/guidance/htg736,chronic_disease_management,strong_official_product
,Digital therapy for chronic tic disorders and Tourette syndrome: early value assessment (HTG748),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 7 May 2025; published 2025-05-07,nice_digital_health,HTG748,2025-05-07,Published,https://www.nice.org.uk/guidance/htg748,chronic_disease_management,strong_official_product
,Digitally enabled therapies for adults with anxiety disorders: early value assessment (HTG676),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 14 December 2023 Published : 16 May 2023; published 2023-05-16,nice_digital_health,HTG676,2023-05-16,Published,https://www.nice.org.uk/guidance/htg676,mental_health,strong_official_product
,Digitally enabled therapies for adults with depression: early value assessment (HTG675),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 14 January 2025 Published : 16 May 2023; published 2023-05-16,nice_digital_health,HTG675,2023-05-16,Published,https://www.nice.org.uk/guidance/htg675,mental_health,strong_official_product
,EGFR‑TK mutation testing in adults with locally advanced or metastatic non-small-cell lung cancer (HTG316),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 14 August 2013; published 2013-08-14,nice_digital_health,HTG316,2013-08-14,Published,https://www.nice.org.uk/guidance/htg316,,strong_official_product
,FibroScan for assessing liver fibrosis and cirrhosis outside secondary and specialist care (HTG682),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 7 June 2023; published 2023-06-07,nice_digital_health,HTG682,2023-06-07,Published,https://www.nice.org.uk/guidance/htg682,,strong_official_product
,Fluorouracil chemotherapy: The My5‑FU assay for guiding dose adjustment (HTG360),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 10 December 2014; published 2014-12-10,nice_digital_health,HTG360,2014-12-10,Published,https://www.nice.org.uk/guidance/htg360,,strong_official_product
,GaitSmart rehabilitation exercise programme for gait and mobility issues (HTG716),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 3 April 2024; published 2024-04-03,nice_digital_health,HTG716,2024-04-03,Published,https://www.nice.org.uk/guidance/htg716,rehabilitation,strong_official_product
,gammaCore for cluster headache (HTG533),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Published : 3 December 2019; published 2019-12-03,nice_digital_health,HTG533,2019-12-03,Published,https://www.nice.org.uk/guidance/htg533,,strong_official_product
,Genedrive MT-RNR1 ID Kit for detecting a genetic variant to guide antibiotic use and prevent hearing loss in babies: early value assessment (HTG665),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 10 August 2023 Published : 30 March 2023; published 2023-03-30,nice_digital_health,HTG665,2023-03-30,Published,https://www.nice.org.uk/guidance/htg665,,strong_official_product
,Guided self-help digital cognitive behavioural therapy for children and young people with mild to moderate symptoms of anxiety or low mood: early value assessment (HTG660),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 5 September 2023 Published : 8 February 2023; published 2023-02-08,nice_digital_health,HTG660,2023-02-08,Published,https://www.nice.org.uk/guidance/htg660,mental_health,strong_official_product
,Heart failure algorithms for remote monitoring in people with cardiac implantable electronic devices (HTG730),remote_patient_monitoring,Product type: Guidance Programme: HealthTech guidance Published : 24 October 2024; published 2024-10-24,nice_digital_health,HTG730,2024-10-24,Published,https://www.nice.org.uk/guidance/htg730,remote_patient_monitoring,strong_official_product
,HeartFlow FFRCT for estimating fractional flow reserve from coronary CT angiography (HTG429),digital_health_directory_item,Product type: Guidance Programme: HealthTech guidance Last updated : 19 May 2021 Published : 13 February 2017; published 2017-02-13,nice_digital_health,HTG429,2017-02-13,Published,https://www.nice.org.uk/guidance/htg429,,strong_official_product
