companyName,productName,region,country,city,tier,categories,sourceType,sourceQuery,sourceUrl,capturedAt,evidenceSummary,confidence,privacyFlag,evidenceStrength,discoveryRound,seeded
Canon Medical Systems Corporation,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",,JP,Otawara-Shi,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233195,2026-05-14,FDA 510(k) K233195; 2024-01-24; product code IYN,0.86,company_product_public,strong_official_product,round1,no
"Spectrum Dynamics Medical, Ltd.",TruSPECT Processing Station,,IL,Caesarea,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253532,2026-05-14,FDA 510(k) K253532; 2025-12-30; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Murata Vios, Inc.",Vios Monitoring System(TM) Model 2050; Vios Central Station Monitor/Vios Central Server Software 2050,US,US,Woodbury,A,samd; remote_patient_monitoring,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241728,2026-05-14,FDA 510(k) K241728; 2025-01-23; product code DXN,0.86,company_product_public,strong_official_product,round1,no
"Biomagnetic Technologies, Inc.",MAGNES II BIOMAGNETOMETER,US,US,San Diego,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K941553,2026-05-14,FDA 510(k) K941553; 1996-05-16; product code OLX,0.86,company_product_public,strong_official_product,round1,no
"Infobionic, Inc.",MoMe Software Platform,US,US,Lowell,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K152491,2026-05-14,FDA 510(k) K152491; 2015-12-17; product code DSI,0.86,company_product_public,strong_official_product,round1,no
Natural Cycles Nordic AB,Natural Cycles,Europe,SE,Stockholm,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K231274,2026-05-14,FDA 510(k) K231274; 2023-08-24; product code PYT,0.86,company_product_public,strong_official_product,round1,no
"Hypoguard USA, Inc.","GLUCOBALANCE DATA MANAGEMENT SOFTWARE, MODEL 555020",US,US,Edina,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K022545,2026-05-14,FDA 510(k) K022545; 2002-10-11; product code NBW,0.86,company_product_public,strong_official_product,round1,no
"Vivometrics, Inc.",LIFESHIRT REAL-TIME WITH VIVOMONITOR SOFTWARE,US,US,Washington,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K043604,2026-05-14,FDA 510(k) K043604; 2005-04-29; product code DQK,0.86,company_product_public,strong_official_product,round1,no
Ligence Uab,Ligence Heart,Europe,LT,Kaunas,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253535,2026-05-14,FDA 510(k) K253535; 2026-02-27; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Laralab GmbH,LARALAB,Europe,DE,Munich,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K242500,2026-05-14,FDA 510(k) K242500; 2025-04-16; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Guangzhou Raydose Software Technology., LLC",EDOSE,China,CN,Guangzhou,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K150767,2026-05-14,FDA 510(k) K150767; 2015-08-17; product code IYE,0.86,company_product_public,strong_official_product,round1,no
Onera B.V.,Onera SleepMap (SLEEPMAP),Europe,NL,Eindhoven,A,sleep_health,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K253668,2026-05-14,FDA 510(k) K253668; 2026-03-08; product code OLZ,0.86,company_product_public,strong_official_product,round1,no
GE Medical Systems Ultrasound and Primary Care Diagnostics,"EchoPAC Software Only, EchoPAC Plug-in",US,US,Wauwatosa,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K220940,2026-05-14,FDA 510(k) K220940; 2022-07-22; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Therapanacea Sas,ART-Plan,Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K230023,2026-05-14,FDA 510(k) K230023; 2023-04-19; product code QKB,0.86,company_product_public,strong_official_product,round1,no
"Ischemaview, Inc.",Rapid ASPECTS (v3),US,US,Golden,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K232156,2026-05-14,FDA 510(k) K232156; 2024-01-19; product code POK,0.86,company_product_public,strong_official_product,round1,no
"Ischemaview, Inc.",Rapid ICH,US,US,Golden,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K221456,2026-05-14,FDA 510(k) K221456; 2022-09-12; product code QAS,0.86,company_product_public,strong_official_product,round1,no
Datex-Ohmeda,DATEX-OHMEDA S/5 WEB VIEWER WITH L-6WV02 SOFTWARE,US,US,Needham,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K023497,2026-05-14,FDA 510(k) K023497; 2002-11-04; product code MSX,0.86,company_product_public,strong_official_product,round1,no
"Lunit, Inc.",Lunit INSIGHT CXR Triage,,KR,Seoul,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K211733,2026-05-14,FDA 510(k) K211733; 2021-11-10; product code QFM,0.86,company_product_public,strong_official_product,round1,no
GE Medical Systems Ultrasound and Primary Care Diagnostics,EchoPAC Software Only / EchoPAC Plug-in,US,US,Waukesha,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K251342,2026-05-14,FDA 510(k) K251342; 2025-07-16; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Ortho Kinematics, Inc.",OKI Surgical Planning Software,US,US,Austin,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171617,2026-05-14,FDA 510(k) K171617; 2017-08-22; product code LLZ,0.86,company_product_public,strong_official_product,round1,no
"Nidek, Inc.",OPD-STATION SOFTWARE,US,US,Lake Forest,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K050336,2026-05-14,FDA 510(k) K050336; 2005-08-24; product code NCF,0.86,company_product_public,strong_official_product,round1,no
Gleamer Sas,BoneMetrics (US),Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241593,2026-05-14,FDA 510(k) K241593; 2025-02-05; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Elaitra, Ltd.",ViewFinder Software Version 1.1,Europe,GB,London,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K223501,2026-05-14,FDA 510(k) K223501; 2023-04-21; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"Philips Medical Systems (Cleveland), Inc.",VOYAGER 6.0 SOFTWARE OPTION,US,US,Cleveland,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K000310,2026-05-14,FDA 510(k) K000310; 2000-02-15; product code HAW,0.86,company_product_public,strong_official_product,round1,no
"Remedy Logic, Inc.",RemedyLogic AI MRI Lumbar Spine Reader,US,US,New York,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241108,2026-05-14,FDA 510(k) K241108; 2024-10-30; product code QIH,0.86,company_product_public,strong_official_product,round1,no
Feops NV,FEops HEARTguide,Europe,BE,Gent-Zwijnaarde,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=DEN200030,2026-05-14,FDA 510(k) DEN200030; 2021-09-08; product code QQI,0.86,company_product_public,strong_official_product,round1,no
Brightheart,BrightHeart View Classifier,Europe,FR,Paris,A,,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K251456,2026-05-14,FDA 510(k) K251456; 2025-06-05; product code QIH,0.86,company_product_public,strong_official_product,round1,no
"R2 Technology, Inc.",IMAGECHECKER-CT SOFTWARE PACKAGE WITH FILLING DEFECT INDICATOR,US,US,Sunnyvale,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K041380,2026-05-14,FDA 510(k) K041380; 2004-06-08; product code OEB,0.86,company_product_public,strong_official_product,round1,no
"Topcon Medical Systems, Inc.",IMAGENET 5 PC SOFTWARE SYSTEM,US,US,North Reading,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132438,2026-05-14,FDA 510(k) K132438; 2013-10-17; product code NFJ,0.86,company_product_public,strong_official_product,round1,no
"Advanced Planimetric Services, LLC",PICTZAR DIGITAL PLANIMETRY SOFTWARE APPLICATION 7.0,US,US,Elmwood Park,A,samd,openfda_device_510k,software,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130165,2026-05-14,FDA 510(k) K130165; 2013-08-30; product code FXN,0.86,company_product_public,strong_official_product,round1,no
