global_rank,thread_no,level,author,likes,time,reply_to,comment_id,text
1,1,主评论,momo,2,2025-04-29广西,,68108eee000000000400b439,肱骨前移是不是最好不要侧睡？
2,1,回复,谢思源运动康复,1,2025-04-30北京,momo,68115a83000000001e03f08b,为什么啊，不是
3,1,回复,小橙橙,5,2025-04-29江苏,momo,681097c6000000001f006f8e,练废的几乎没有，主要都是睡觉睡的
4,1,回复,谢思源运动康复,0,2025-04-30北京,momo,68115a92000000001f00ac84,回复 小橙橙 : 比如呢
5,1,回复,momo,1,2025-04-30广西,momo,6811711e00000000130112bf,回复 谢思源运动康复 : 我感觉是侧睡把肩膀往前压导致的
6,1,回复,小林你一定可以！,0,2025-05-03江西,momo,68155c9f000000000702a20c,卧槽我就是喜欢侧着睡
7,1,回复,咿呀衣,0,01-02内蒙古,momo,6956df640000000014035e38,回复 谢思源运动康复 : 我感觉形成圆肩的很大原因就是侧睡，因为我从小就喜欢侧着睡觉，下面那个肩膀就会被压着往前去，然后上面肩膀也往前去，平躺睡不着，时间长就导致肱骨前移了
8,1,回复,嘻嘻哈哈,0,04-10四川,momo,69d8cccb00000000350186aa,回复 momo : 我也是，不然睡不着
9,2,主评论,T. Boxes,116,2025-04-07上海,,67f3a0c8000000001f005a2f,感觉肱骨前移的人，本身站姿坐姿都有很多问题，所以可能需要系统的调整和训练，一个动作作用不大需要一系列方案
10,2,回复,一杯星冰乐,35,2025-04-13山东,T. Boxes,67fb22d50000000020014370,而且喜欢侧睡
11,2,回复,17sion,0,2025-04-07湖南,T. Boxes,67f3cfd4000000001f00fc0c,dl
12,2,回复,momo,1,2025-04-11辽宁,T. Boxes,67f8d8f70000000012002b11,dl
13,2,回复,小野野野野,0,2025-04-14四川,T. Boxes,67fccf37000000001e00cec1,是的
14,2,回复,谢思源运动康复,3,2025-04-24北京,T. Boxes,68096ac50000000012023bed,你说的很对，需要系统的调整
15,2,回复,。,0,2025-04-28广东,T. Boxes,680e8f7d000000001f00a873,我是因为摔了一跤 把右边胳膊肘整断了 好了之后肩膀就变形了，
16,2,回复,谢思源运动康复,0,2025-04-30北京,T. Boxes,68115fcd000000001f00b743,回复 。 : 你可以试试活动范围正常不正常，比如抬手，背手。一般来说，手术之后会受影响这个，这也是康复的第一个部分。
17,3,主评论,momo,6,2025-04-07江苏,,67f3379f000000001e030c44,就这动作。。做到哪辈子能改善啊。。
18,3,回复,momo,2,2025-04-07陕西,momo,67f35e63000000001f0008db,你出一个一周见效的，我需要
19,3,回复,momo,0,2025-04-07江苏,momo,67f35ee8000000001e032653,回复 momo : 这个就有用，去练吧，练一辈子就好了
20,3,回复,momo,22,2025-04-07陕西,momo,67f393e8000000001f0287c1,回复 momo : 你怎么阴阳怪气的，你的意思不是没用么
21,3,回复,碳水脑子🧠,0,2025-12-04吉林,momo,6930d28e000000001d01cdf1,回复 momo : 你出一个一周见效的，我真的需要
22,4,主评论,胡椒,9,2025-04-07四川,,67f3e4440000000012001ed2,增加外旋肌肉力量？
23,4,回复,谢思源运动康复,13,2025-04-24北京,胡椒,680968d5000000001e03d8de,这训练并不是简单的内外旋，而是是要控制肱骨头在关节中心位置，这也是为什么要转体30°左右的原因。只有
24,4,回复,Sin,3,2025-04-08上海,胡椒,67f422aa000000001e039c9a,前移做外旋我是没想到的
25,4,回复,胡椒,0,2025-04-08四川,胡椒,67f464f9000000001f0064f6,回复 Sin : 我就是搞不明白
26,4,回复,凌晨洗手,0,2025-04-16广东,胡椒,67ff4627000000001200b74b,回复 Sin : 那得做啥动作啊
27,4,回复,Sin,0,2025-04-16上海,胡椒,67ff5c8f000000001e03b07d,回复 凌晨洗手 : 内旋
28,4,回复,boom,0,2025-04-17河北,胡椒,68008460000000001e011775,回复 Sin : 前移怎么能增加内旋力量呢
29,4,回复,Sin,0,2025-04-17上海,胡椒,68009660000000001e013cde,回复 boom : 弹力绳固定保持张力啊
30,4,回复,boom,1,2025-04-17河北,胡椒,6800eb38000000000400bec4,回复 Sin : 我是说，肱骨前移练旋内不是更前移吗？
31,4,回复,Sin,0,2025-04-17上海,胡椒,6800eda2000000000400f5c3,回复 boom : 怎么会
32,4,回复,boom,0,2025-04-17河北,胡椒,6800f30a000000000400f206,回复 Sin : 为什么不会，肱骨前移是后方关节囊韧带肌肉张力和前方不对等，还练前方的只会更差啊
33,4,回复,Sin,1,2025-04-18上海,胡椒,680155d0000000000401d990,回复 boom : 换谁来都是内旋 不展开了
34,5,主评论,糕糕勻,8,2025-04-18江苏,,6801baa8000000000401af37,做招财猫的时候，肩关节会乱响还会卡住是什么情况啊
35,5,回复,果珍to,0,2025-04-18天津,糕糕勻,680259fb0000000013013e3a,我也是会响
36,5,回复,谢思源运动康复,3,2025-04-18山东,糕糕勻,6802634d000000001f0067d6,回复 果珍to : 说明有可能有功能障碍
37,5,回复,果珍to,0,2025-04-18天津,糕糕勻,68026585000000000401fa97,回复 谢思源运动康复 : 谢谢，这样是不是就不能做了？需要就医么
38,5,回复,谢思源运动康复,0,2025-04-19上海,糕糕勻,6802e44400000000120024eb,回复 果珍to : 一般而言，弹响不疼的话，不要紧
39,5,回复,知世就是力量！！！,0,2025-04-23河北,糕糕勻,6808e438000000000401d42b,回复 谢思源运动康复 : 您好，我有的时候踮脚，脚趾或者脚踝那边也会弹响，这样是有什么问题吗肩膀也是，在做一些伸展的时候咔咔响，是我热身不到位吗？还是有响的话就要立刻停止
40,6,主评论,momo,3,2025-04-16湖北,,67fe91cf000000001e01127f,我这个是吗
41,6,回复,谢思源运动康复,1,2025-04-24北京,momo,6809a24c0000000012010899,你这种把小圆肌放松下就行
42,6,回复,小红薯5DAB9BA8,2,2025-04-17北京,momo,680054460000000012022759,明显异状肩胛
43,6,回复,momo,0,2025-04-17湖北,momo,6800569e000000001e039086,回复 小红薯5DAB9BA8 : 救命
44,6,回复,momo,1,2025-04-17广东,momo,6800906e00000000200124da,看不清楚，得翻过来看看
45,6,回复,小七是雪纳瑞吖,0,2025-04-17辽宁,momo,6800ddc4000000000401906e,你这应该是有点儿翼状肩胛吧
46,6,回复,momo,0,2025-04-17湖北,momo,68011f06000000000400cab7,回复 momo : 这是正面，但是其实有点仰拍的，因为我斜方肌很大的，背很厚
47,6,回复,momo,0,2025-04-17湖北,momo,68011f1e0000000004014598,回复 momo : 这个也是有点仰拍
48,6,回复,momo,1,2025-04-17湖北,momo,68011f420000000013011084,回复 小七是雪纳瑞吖 : 应该是的我穿圆领的衣服显得人巨壮
49,6,回复,momo,0,2025-04-17湖北,momo,68012045000000000401eb97,回复 momo : 对啊对啊我都不敢穿那些短袖显得人好壮啊
50,6,回复,谢思源运动康复,0,2025-04-19上海,momo,6802e76e0000000012023c47,回复 momo : 翼状肩胛有些，其他并没有太多问题，比用太焦虑
